Tool_ID,Group,Position,Condition,TCond,Init_diameter,Final_diameter,R_measurement,ap,vc,f,Ra,Rz,Rsk,Rku,RSm,Rt,Fx,Fy,Fz
31,2,i,15,0,93.5,92.5,5,0.5,350,0.13,0.573,2.679,0.232,2.207,116.5,3.025,179.8,81.93,75.26
31,2,i,15,0,93.5,92.5,6,0.5,350,0.13,0.554,2.579,0.349,2.313,118.2,2.71,179.8,81.93,75.26
31,2,j,13,0,93.5,92.5,1,0.5,350,0.07,0.356,1.636,-0.115,2.032,70.3,1.781,107.7,52.78,60.21
31,2,j,13,0,93.5,92.5,2,0.5,350,0.07,0.334,1.609,0.038,2.113,68.7,1.738,107.7,52.78,60.21
31,2,j,13,0,93.5,92.5,3,0.5,350,0.07,0.334,1.635,-0.042,2.165,71.3,1.797,107.7,52.78,60.21
31,2,j,13,0,93.5,92.5,4,0.5,350,0.07,0.337,1.428,-0.137,1.802,70.8,1.539,107.7,52.78,60.21
31,2,j,13,0,93.5,92.5,5,0.5,350,0.07,0.254,1.251,-0.101,2.088,68.3,1.381,107.7,52.78,60.21
31,2,j,13,0,93.5,92.5,6,0.5,350,0.07,0.255,1.253,0.076,2.155,63.3,1.421,107.7,52.78,60.21
41,3,a,22,0,92.5,90.9,1,0.8,350,0.07,0.38,1.681,0.439,2.042,70.7,1.803,159.5,62.91,115.8
41,3,a,22,0,92.5,90.9,2,0.8,350,0.07,0.366,1.535,0.417,1.962,70.9,1.688,159.5,62.91,115.8
41,3,a,22,0,92.5,90.9,3,0.8,350,0.07,0.383,1.763,0.376,2.107,71.4,1.928,159.5,62.91,115.8
41,3,a,22,0,92.5,90.9,4,0.8,350,0.07,0.374,1.627,0.449,2.017,70.2,1.729,159.5,62.91,115.8
41,3,a,22,0,92.5,90.9,5,0.8,350,0.07,0.379,1.736,0.426,2.089,69.2,1.92,159.5,62.91,115.8
41,3,a,22,0,92.5,90.9,6,0.8,350,0.07,0.383,1.66,0.463,2.007,70.6,1.848,159.5,62.91,115.8
41,3,b,24,0,92.5,90.9,1,0.8,350,0.13,1.46,6.212,0.818,2.528,131.9,6.317,272.2,100.7,219.1
41,3,b,24,0,92.5,90.9,2,0.8,350,0.13,1.444,6.169,0.903,2.585,130.6,6.357,272.2,100.7,219.1
41,3,b,24,0,92.5,90.9,3,0.8,350,0.13,1.387,6.026,0.848,2.644,130.6,6.166,272.2,100.7,219.1
41,3,b,24,0,92.5,90.9,4,0.8,350,0.13,1.433,6.211,0.809,2.587,133.1,6.411,272.2,100.7,219.1
41,3,b,24,0,92.5,90.9,5,0.8,350,0.13,1.417,5.907,0.833,2.557,131.1,6.278,272.2,100.7,219.1
41,3,b,24,0,92.5,90.9,6,0.8,350,0.13,1.382,6.023,1.012,2.82,131.4,6.138,272.2,100.7,219.1
41,3,c,23,0,92.5,90.9,1,0.8,350,0.1,0.929,4.12,0.668,2.529,100.2,4.24,213,77.32,190.3
41,3,c,23,0,92.5,90.9,2,0.8,350,0.1,0.888,3.982,0.412,2.312,101.9,4.187,213,77.32,190.3
41,3,c,23,0,92.5,90.9,3,0.8,350,0.1,0.799,3.662,0.616,2.523,101.3,3.981,213,77.32,190.3
41,3,c,23,0,92.5,90.9,4,0.8,350,0.1,0.867,3.825,0.468,2.335,102.4,4.136,213,77.32,190.3
41,3,c,23,0,92.5,90.9,5,0.8,350,0.1,0.729,3.43,0.679,2.694,101.4,3.587,213,77.32,190.3
41,3,c,23,0,92.5,90.9,6,0.8,350,0.1,0.743,3.349,0.708,2.553,99.1,3.51,213,77.32,190.3
41,3,d,25,0,92.5,90.9,1,0.8,390,0.07,0.47,2.226,0.419,2.202,70.4,2.412,162.8,60.35,116.9
41,3,d,25,0,92.5,90.9,2,0.8,390,0.07,0.392,1.735,0.2,1.971,71.6,1.863,162.8,60.35,116.9
41,3,d,25,0,92.5,90.9,3,0.8,390,0.07,0.503,2.285,0.398,2.125,70.9,2.374,162.8,60.35,116.9
41,3,d,25,0,92.5,90.9,4,0.8,390,0.07,0.535,2.351,0.388,2.05,70.4,2.502,162.8,60.35,116.9
41,3,d,25,0,92.5,90.9,5,0.8,390,0.07,0.388,1.756,0.381,2.059,71.1,1.923,162.8,60.35,116.9
41,3,d,25,0,92.5,90.9,6,0.8,390,0.07,0.344,1.532,0.171,1.957,70.3,1.667,162.8,60.35,116.9
41,3,e,26,0,92.5,90.9,1,0.8,390,0.1,0.699,3.16,0.655,2.31,99,3.307,215.7,75.94,193.2
41,3,e,26,0,92.5,90.9,2,0.8,390,0.1,0.879,3.617,0.081,1.864,99.5,3.755,215.7,75.94,193.2
41,3,e,26,0,92.5,90.9,3,0.8,390,0.1,0.882,3.576,0.196,1.855,100.7,3.723,215.7,75.94,193.2
41,3,e,26,0,92.5,90.9,4,0.8,390,0.1,0.858,3.536,0.304,1.968,100.9,3.624,215.7,75.94,193.2
41,3,e,26,0,92.5,90.9,5,0.8,390,0.1,0.536,2.746,0.657,2.769,99.3,2.967,215.7,75.94,193.2
41,3,e,26,0,92.5,90.9,6,0.8,390,0.1,0.449,2.463,1.066,3.403,95.3,2.6,215.7,75.94,193.2
41,3,f,27,0,92.5,90.9,1,0.8,390,0.13,0.827,3.936,0.346,2.446,128.3,4.086,272.5,98.6,214.3
41,3,f,27,0,92.5,90.9,2,0.8,390,0.13,1.195,4.854,0.591,2.182,128.4,5.08,272.5,98.6,214.3
41,3,f,27,0,92.5,90.9,3,0.8,390,0.13,1.171,4.813,0.603,2.223,130.6,4.967,272.5,98.6,214.3
41,3,f,27,0,92.5,90.9,4,0.8,390,0.13,0.846,3.904,0.351,2.378,132.1,4.029,272.5,98.6,214.3
41,3,f,27,0,92.5,90.9,5,0.8,390,0.13,1.157,4.897,0.703,2.336,130.6,5.151,272.5,98.6,214.3
41,3,f,27,0,92.5,90.9,6,0.8,390,0.13,1.198,4.929,0.608,2.199,132.5,5.068,272.5,98.6,214.3
41,3,g,21,0,92.5,90.9,1,0.8,310,0.13,0.855,3.977,0.298,2.281,124.8,4.336,283.5,100.2,221.5
41,3,g,21,0,92.5,90.9,2,0.8,310,0.13,1.19,5.023,0.501,2.18,129.9,5.466,283.5,100.2,221.5
41,3,g,21,0,92.5,90.9,3,0.8,310,0.13,1.158,5.038,0.511,2.272,127.2,5.614,283.5,100.2,221.5
41,3,g,21,0,92.5,90.9,4,0.8,310,0.13,0.862,3.94,0.353,2.297,133.5,4.193,283.5,100.2,221.5
41,3,g,21,0,92.5,90.9,5,0.8,310,0.13,1.213,4.965,0.574,2.145,132,5.185,283.5,100.2,221.5
41,3,g,21,0,92.5,90.9,6,0.8,310,0.13,1.188,5.01,0.585,2.18,132.8,5.235,283.5,100.2,221.5
41,3,h,19,0,92.5,90.9,1,0.8,310,0.07,0.391,1.679,-0.433,2.075,69.3,1.937,169.4,61.43,121.5
41,3,h,19,0,92.5,90.9,2,0.8,310,0.07,0.375,1.724,-0.483,2.176,70.2,1.892,169.4,61.43,121.5
41,3,h,19,0,92.5,90.9,3,0.8,310,0.07,0.404,1.984,-0.27,2.236,69.8,2.313,169.4,61.43,121.5
41,3,h,19,0,92.5,90.9,4,0.8,310,0.07,0.36,1.725,-0.269,2.169,66.8,1.997,169.4,61.43,121.5
41,3,h,19,0,92.5,90.9,5,0.8,310,0.07,0.386,1.765,-0.465,2.207,69.8,2.058,169.4,61.43,121.5
41,3,h,19,0,92.5,90.9,6,0.8,310,0.07,0.392,1.993,-0.397,2.35,70.6,2.232,169.4,61.43,121.5
41,3,i,20,0,92.5,90.9,1,0.8,310,0.1,0.615,2.858,0.1,2.197,92.8,3.13,226.3,78.35,218.9
41,3,i,20,0,92.5,90.9,2,0.8,310,0.1,0.586,2.789,0.103,2.229,93.4,2.946,226.3,78.35,218.9
41,3,i,20,0,92.5,90.9,3,0.8,310,0.1,0.599,2.88,-0.039,2.207,89.6,3.07,226.3,78.35,218.9
41,3,i,20,0,92.5,90.9,4,0.8,310,0.1,0.588,2.861,0.14,2.281,101.9,3.061,226.3,78.35,218.9
41,3,i,20,0,92.5,90.9,5,0.8,310,0.1,0.654,3.015,0.548,2.323,99.6,3.23,226.3,78.35,218.9
41,3,i,20,0,92.5,90.9,6,0.8,310,0.1,0.598,2.87,-0.025,2.211,86.4,3.154,226.3,78.35,218.9
51,1,a,5,0,90.9,90.4,1,0.25,350,0.1,1.032,4.226,0.687,2.326,101.2,4.355,64.9,55.46,27.28
51,1,a,5,0,90.9,90.4,2,0.25,350,0.1,1.039,4.265,0.729,2.373,100,4.422,64.9,55.46,27.28
51,1,a,5,0,90.9,90.4,3,0.25,350,0.1,1.062,4.201,0.724,2.268,100.4,4.335,64.9,55.46,27.28
51,1,a,5,0,90.9,90.4,4,0.25,350,0.1,1.036,4.338,0.719,2.333,100,4.469,64.9,55.46,27.28
51,1,a,5,0,90.9,90.4,5,0.25,350,0.1,1.059,4.272,0.773,2.331,100.6,4.494,64.9,55.46,27.28
51,1,a,5,0,90.9,90.4,6,0.25,350,0.1,1.059,4.272,0.773,2.331,100.6,4.494,64.9,55.46,27.28
51,1,b,6,0,90.9,90.4,1,0.25,350,0.13,1.812,6.548,0.461,1.792,128.8,6.699,79.1,61.07,24.84
51,1,b,6,0,90.9,90.4,2,0.25,350,0.13,1.634,5.91,0.407,1.793,131.9,6.195,79.1,61.07,24.84
51,1,b,6,0,90.9,90.4,3,0.25,350,0.13,1.798,6.427,0.391,1.784,130.3,6.674,79.1,61.07,24.84
51,1,b,6,0,90.9,90.4,4,0.25,350,0.13,1.736,6.416,0.47,1.851,130.8,6.628,79.1,61.07,24.84
51,1,b,6,0,90.9,90.4,5,0.25,350,0.13,1.777,6.33,0.488,1.821,131.7,6.573,79.1,61.07,24.84
51,1,b,6,0,90.9,90.4,6,0.25,350,0.13,1.735,6.511,0.549,1.927,129.6,6.652,79.1,61.07,24.84
51,1,c,4,0,90.9,90.4,1,0.25,350,0.07,0.677,2.728,0.52,1.988,70.5,2.957,52.04,44.26,22.9
51,1,c,4,0,90.9,90.4,2,0.25,350,0.07,0.586,2.382,0.429,1.959,70.4,2.431,52.04,44.26,22.9
