Position,vc,cat,cont_1,cont_2,Fy
96.35583333,107.474697,-29.25526093,-26.89539477,-0.034037441,77.32
96.35583333,107.474697,-29.25526093,-26.90425306,0.692665253,77.32
96.35583333,107.474697,-29.25526093,-26.89796744,0.115303236,77.32
96.35583333,107.474697,-29.25526093,-26.91339759,1.069068711,77.32
96.35583333,107.474697,-29.25526093,-26.91563113,0.926830596,77.32
97.27833333,66.64222222,-29.25526093,-15.43003201,-0.177455009,60.35
97.27833333,66.64222222,-29.25526093,-15.44312751,-0.964032474,60.35
97.27833333,66.64222222,-29.25526093,-15.42847343,-0.331642236,60.35
97.27833333,66.64222222,-29.25526093,-15.4254796,-0.460110254,60.35
97.27833333,66.64222222,-29.25526093,-15.44263422,-0.461725691,60.35
97.27833333,66.64222222,-29.25526093,-15.44962505,-1.044369763,60.35
95.03916667,66.64222222,-29.25526093,-26.92135456,0.467807516,75.94
95.03916667,66.64222222,-29.25526093,-26.90520859,-1.364847189,75.94
95.03916667,66.64222222,-29.25526093,-26.90527055,-1.138913132,75.94
95.03916667,66.64222222,-29.25526093,-26.90754516,-0.752329861,75.94
95.03916667,66.64222222,-29.25526093,-26.93486821,1.131071953,75.94
95.03916667,66.64222222,-29.25526093,-26.94677318,2.890980079,75.94
88.75583333,66.64222222,-29.25526093,7.644270123,0.021298984,98.6
88.75583333,66.64222222,-29.25526093,7.67757071,0.151073758,98.6
88.75583333,66.64222222,-29.25526093,7.676089856,0.234872834,98.6
88.75583333,66.64222222,-29.25526093,7.645839619,-0.065961879,98.6
88.75583333,66.64222222,-29.25526093,7.678461238,0.60483991,98.6
88.75583333,66.64222222,-29.25526093,7.680218901,0.210794667,98.6
90.815,66.995,-29.25526093,7.646827943,-0.315333288,100.2
90.815,66.995,-29.25526093,7.684083363,-0.038730367,100.2
90.815,66.995,-29.25526093,7.683446722,0.114149148,100.2
90.815,66.995,-29.25526093,7.649295317,-0.178121428,100.2
90.815,66.995,-29.25526093,7.682189876,0.062633443,100.2
90.815,66.995,-29.25526093,7.682658325,0.135739672,100.2
91.29,66.995,-29.25526093,-15.44395418,-2.129447921,61.43
91.29,66.995,-29.25526093,-15.44419114,-2.088266129,61.43
91.29,66.995,-29.25526093,-15.43610854,-1.559701739,61.43
91.29,66.995,-29.25526093,-15.44516807,-1.653834728,61.43
91.29,66.995,-29.25526093,-15.44171323,-2.006364612,61.43
91.29,66.995,-29.25526093,-15.43699526,-1.659783202,61.43
69.85666929,66.995,-29.25526093,-26.93222749,-0.847205603,78.35
69.85666929,66.995,-29.25526093,-26.93572912,-0.795023479,78.35
69.85666929,66.995,-29.25526093,-26.93482327,-1.121552273,78.35
69.85666929,66.995,-29.25526093,-26.9295846,-0.643503123,78.35
69.85666929,66.995,-29.25526093,-26.92493262,0.264233533,78.35
69.85666929,66.995,-29.25526093,-26.93553805,-1.086730052,78.35
102.8563636,107.474697,-63.79977508,-26.88631165,0.557247818,55.46
102.8563636,107.474697,-63.79977508,-26.88550788,0.711973444,55.46
102.8563636,107.474697,-63.79977508,-26.88607022,0.550811436,55.46
102.8563636,107.474697,-63.79977508,-26.88439804,0.633764387,55.46
102.8563636,107.474697,-63.79977508,-26.88360972,0.743051757,55.46
102.8563636,107.474697,-63.79977508,-26.88360972,0.743051757,55.46
98.42083333,107.474697,-63.79977508,7.734426224,-0.678967832,61.07
98.42083333,107.474697,-63.79977508,7.717751479,-0.789691172,61.07
98.42083333,107.474697,-63.79977508,7.733221632,-0.835847294,61.07
98.42083333,107.474697,-63.79977508,7.730587506,-0.575552363,61.07
98.42083333,107.474697,-63.79977508,7.731076094,-0.581245037,61.07
98.42083333,107.474697,-63.79977508,7.731137297,-0.302333699,61.07
96.35583333,107.474697,-63.79977508,-15.41157471,-0.274973212,44.26
96.35583333,107.474697,-63.79977508,-15.42414638,-0.505625561,44.26
96.35583333,107.474697,-63.79977508,-15.41340272,-0.240894461,44.26
96.35583333,107.474697,-63.79977508,-15.41634927,-0.446468655,44.26
96.35583333,107.474697,-63.79977508,-15.41397562,-0.155838881,44.26
96.35583333,107.474697,-63.79977508,-15.41450541,-0.157326298,44.26
97.27833333,66.64222222,-63.79977508,7.657117673,0.515168933,59.87
97.27833333,66.64222222,-63.79977508,7.662346496,0.557837664,59.87
97.27833333,66.64222222,-63.79977508,7.709584791,-0.62263142,59.87
97.27833333,66.64222222,-63.79977508,7.658107901,0.750411314,59.87
97.27833333,66.64222222,-63.79977508,7.709772634,-0.614656652,59.87
97.27833333,66.64222222,-63.79977508,7.704521843,-0.710122957,59.87
95.03916667,66.64222222,-63.79977508,-26.89957045,-0.831949523,51.77
95.03916667,66.64222222,-63.79977508,-26.89819696,-0.393722528,51.77
95.03916667,66.64222222,-63.79977508,-26.91447621,0.2005122,51.77
95.03916667,66.64222222,-63.79977508,-26.89999124,-0.771844078,51.77
95.03916667,66.64222222,-63.79977508,-26.91642059,0.183434418,51.77
95.03916667,66.64222222,-63.79977508,-26.89766316,-1.089500772,51.77
88.75583333,66.64222222,-63.79977508,-15.4349654,-0.423801333,44.28
88.75583333,66.64222222,-63.79977508,-15.43619673,-0.541037867,44.28
88.75583333,66.64222222,-63.79977508,-15.43988327,-0.879695716,44.28
88.75583333,66.64222222,-63.79977508,-15.43585428,-1.023805307,44.28
88.75583333,66.64222222,-63.79977508,-15.43853993,-0.722046703,44.28
88.75583333,66.64222222,-63.79977508,-15.43678563,-0.642042744,44.28
90.815,66.995,-63.79977508,-26.91584008,-1.814485374,49.87
90.815,66.995,-63.79977508,-26.91592893,-1.744225482,49.87
90.815,66.995,-63.79977508,-26.91172821,-1.751533353,49.87
90.815,66.995,-63.79977508,-26.91449529,-1.812741679,49.87
90.815,66.995,-63.79977508,-26.91488726,-1.773149959,49.87
90.815,66.995,-63.79977508,-26.91718414,-1.931029647,49.87
91.29,66.995,-63.79977508,7.668834941,-1.074499775,59.72
91.29,66.995,-63.79977508,7.666961438,-0.783280394,59.72
91.29,66.995,-63.79977508,7.662108335,-0.718148933,59.72
91.29,66.995,-63.79977508,7.669654599,-1.106757781,59.72
91.29,66.995,-63.79977508,7.670256821,-1.128963994,59.72
91.29,66.995,-63.79977508,7.66980438,-0.752791688,59.72
69.85666929,66.995,-63.79977508,-15.42762012,-0.47828996,42.95
69.85666929,66.995,-63.79977508,-15.43186302,0.121457497,42.95
69.85666929,66.995,-63.79977508,-15.438593,-0.866796631,42.95
69.85666929,66.995,-63.79977508,-15.44152378,-1.156195506,42.95
69.85666929,66.995,-63.79977508,-15.43797903,-0.975597049,42.95
69.85666929,66.995,-63.79977508,-15.43051904,-0.741328573,42.95
102.8563636,66.995,-40.95199272,-26.90044835,-0.091323109,69.35
102.8563636,66.995,-40.95199272,-26.90597856,0.326364317,69.35
102.8563636,66.995,-40.95199272,-26.90837538,0.275772026,69.35
