Position,TCond,vc,cat,cont_1,cont_2,Fx
133.225,135.5445714,132.075,155.4674262,32.05504442,1.348287296,272.2
133.225,135.5445714,132.075,155.4674262,32.07360296,1.185433039,272.2
133.225,135.5445714,132.075,155.4674262,32.05840125,1.192202511,272.2
133.225,135.5445714,132.075,155.4674262,32.05479658,1.941650057,272.2
139.6883333,135.5445714,132.075,155.4674262,7.89774062,0.809286337,213
139.6883333,135.5445714,132.075,155.4674262,7.89102164,-0.034037441,213
139.6883333,135.5445714,132.075,155.4674262,7.86817343,0.692665253,213
139.6883333,135.5445714,132.075,155.4674262,7.884310643,0.115303236,213
139.6883333,135.5445714,132.075,155.4674262,7.845647737,1.069068711,213
139.6883333,135.5445714,132.075,155.4674262,7.840108353,0.926830596,213
138.3391667,135.5445714,145.3916667,155.4674262,-29.67769159,-0.177455009,162.8
138.3391667,135.5445714,145.3916667,155.4674262,-29.71007605,-0.964032474,162.8
138.3391667,135.5445714,145.3916667,155.4674262,-29.67324056,-0.331642236,162.8
138.3391667,135.5445714,145.3916667,155.4674262,-29.66584434,-0.460110254,162.8
138.3391667,135.5445714,145.3916667,155.4674262,-29.70907622,-0.461725691,162.8
138.3391667,135.5445714,145.3916667,155.4674262,-29.7265379,-1.044369763,162.8
138.3708333,135.5445714,145.3916667,155.4674262,7.825754476,0.467807516,215.7
138.3708333,135.5445714,145.3916667,155.4674262,7.866985756,-1.364847189,215.7
138.3708333,135.5445714,145.3916667,155.4674262,7.866968586,-1.138913132,215.7
138.3708333,135.5445714,145.3916667,155.4674262,7.861365647,-0.752329861,215.7
138.3708333,135.5445714,145.3916667,155.4674262,7.791012109,1.131071953,215.7
138.3708333,135.5445714,145.3916667,155.4674262,7.760951415,2.890980079,215.7
129.055,135.5445714,145.3916667,155.4674262,31.89165777,0.021298984,272.5
129.055,135.5445714,145.3916667,155.4674262,31.97630833,0.151073758,272.5
129.055,135.5445714,145.3916667,155.4674262,31.97288199,0.234872834,272.5
129.055,135.5445714,145.3916667,155.4674262,31.89614206,-0.065961879,272.5
129.055,135.5445714,145.3916667,155.4674262,31.97823304,0.60483991,272.5
129.055,135.5445714,145.3916667,155.4674262,31.9834482,0.210794667,272.5
138.2291667,135.5445714,145.8066667,155.4674262,31.89723801,-0.315333288,283.5
138.2291667,135.5445714,145.8066667,155.4674262,31.99166801,-0.038730367,283.5
138.2291667,135.5445714,145.8066667,155.4674262,31.98914064,0.114149148,283.5
138.2291667,135.5445714,145.8066667,155.4674262,31.90451613,-0.178121428,283.5
138.2291667,135.5445714,145.8066667,155.4674262,31.98812736,0.062633443,283.5
138.2291667,135.5445714,145.8066667,155.4674262,31.98907606,0.135739672,283.5
136.7941667,135.5445714,145.8066667,155.4674262,-29.71269111,-2.129447921,169.4
136.7941667,135.5445714,145.8066667,155.4674262,-29.71309661,-2.088266129,169.4
136.7941667,135.5445714,145.8066667,155.4674262,-29.69361162,-1.559701739,169.4
136.7941667,135.5445714,145.8066667,155.4674262,-29.71626922,-1.653834728,169.4
136.7941667,135.5445714,145.8066667,155.4674262,-29.70733472,-2.006364612,169.4
136.7941667,135.5445714,145.8066667,155.4674262,-29.69556624,-1.659783202,169.4
160.1583307,135.5445714,145.8066667,155.4674262,7.797438411,-0.847205603,226.3
160.1583307,135.5445714,145.8066667,155.4674262,7.788992306,-0.795023479,226.3
160.1583307,135.5445714,145.8066667,155.4674262,7.790841836,-1.121552273,226.3
160.1583307,135.5445714,145.8066667,155.4674262,7.804738052,-0.643503123,226.3
160.1583307,135.5445714,145.8066667,155.4674262,7.816460316,0.264233533,226.3
160.1583307,135.5445714,145.8066667,155.4674262,7.788501394,-1.086730052,226.3
131.4045455,135.5445714,132.075,-124.4873777,7.914752244,0.557247818,64.9
131.4045455,135.5445714,132.075,-124.4873777,7.916578258,0.711973444,64.9
131.4045455,135.5445714,132.075,-124.4873777,7.91555541,0.550811436,64.9
131.4045455,135.5445714,132.075,-124.4873777,7.919316608,0.633764387,64.9
131.4045455,135.5445714,132.075,-124.4873777,7.921291806,0.743051757,64.9
131.4045455,135.5445714,132.075,-124.4873777,7.921291806,0.743051757,64.9
133.225,135.5445714,132.075,-124.4873777,32.12129541,-0.678967832,79.1
133.225,135.5445714,132.075,-124.4873777,32.07884038,-0.789691172,79.1
133.225,135.5445714,132.075,-124.4873777,32.11811761,-0.835847294,79.1
133.225,135.5445714,132.075,-124.4873777,32.1112095,-0.575552363,79.1
133.225,135.5445714,132.075,-124.4873777,32.11283778,-0.581245037,79.1
133.225,135.5445714,132.075,-124.4873777,32.11260177,-0.302333699,79.1
139.6883333,135.5445714,132.075,-124.4873777,-29.63073885,-0.274973212,52.04
139.6883333,135.5445714,132.075,-124.4873777,-29.66179236,-0.505625561,52.04
139.6883333,135.5445714,132.075,-124.4873777,-29.63583374,-0.240894461,52.04
139.6883333,135.5445714,132.075,-124.4873777,-29.64370898,-0.446468655,52.04
139.6883333,135.5445714,132.075,-124.4873777,-29.63685623,-0.155838881,52.04
139.6883333,135.5445714,132.075,-124.4873777,-29.63794133,-0.157326298,52.04
138.3391667,135.5445714,145.3916667,-124.4873777,31.92448999,0.515168933,80.14
138.3391667,135.5445714,145.3916667,-124.4873777,31.93786726,0.557837664,80.14
138.3391667,135.5445714,145.3916667,-124.4873777,32.05824814,-0.62263142,80.14
138.3391667,135.5445714,145.3916667,-124.4873777,31.92742256,0.750411314,80.14
138.3391667,135.5445714,145.3916667,-124.4873777,32.05871261,-0.614656652,80.14
