Position,TCond,vc,cat,cont_1,cont_2,Fz
83.6675,82.26885714,90.74166667,-14.75919598,9.928221194,1.407521729,71.8
82.50666667,82.26885714,85.8669697,-14.75919598,13.36599472,-1.209557322,66.44
82.50666667,82.26885714,85.8669697,-14.75919598,13.36280501,-0.966160706,66.44
82.50666667,82.26885714,85.8669697,-14.75919598,13.35856068,-1.235122667,66.44
82.50666667,82.26885714,85.8669697,-14.75919598,13.35966829,-1.182556006,66.44
82.50666667,82.26885714,85.8669697,-14.75919598,13.35698263,-1.021265979,66.44
82.50666667,82.26885714,85.8669697,-14.75919598,13.36158335,-1.069678591,66.44
106.4383313,82.26885714,85.8669697,-14.75919598,9.978225702,-0.102656054,75.26
106.4383313,82.26885714,85.8669697,-14.75919598,9.94670461,0.258156801,75.26
106.4383313,82.26885714,85.8669697,-14.75919598,9.896466877,0.177383529,75.26
106.4383313,82.26885714,85.8669697,-14.75919598,10.01287753,-0.411722768,75.26
106.4383313,82.26885714,85.8669697,-14.75919598,9.995892231,-0.558678696,75.26
106.4383313,82.26885714,85.8669697,-14.75919598,9.977509784,-0.163454,75.26
88.25262374,82.26885714,85.8669697,-14.75919598,-14.85112584,-1.530700928,60.21
88.25262374,82.26885714,85.8669697,-14.75919598,-14.86221444,-1.096602617,60.21
88.25262374,82.26885714,85.8669697,-14.75919598,-14.85207758,-1.1880941,60.21
88.25262374,82.26885714,85.8669697,-14.75919598,-14.87419475,-1.906668642,60.21
88.25262374,82.26885714,85.8669697,-14.75919598,-14.91090928,-1.421208249,60.21
88.25262374,82.26885714,85.8669697,-14.75919598,-14.92081694,-0.95736494,60.21
92.84181818,82.26885714,85.8669697,167.6713547,-14.84264828,-0.365669779,115.8
92.84181818,82.26885714,85.8669697,167.6713547,-14.85684231,-0.526241941,115.8
92.84181818,82.26885714,85.8669697,167.6713547,-14.83088466,-0.403184236,115.8
92.84181818,82.26885714,85.8669697,167.6713547,-14.85084909,-0.380798795,115.8
92.84181818,82.26885714,85.8669697,167.6713547,-14.83853419,-0.325180488,115.8
92.84181818,82.26885714,85.8669697,167.6713547,-14.84129682,-0.366080159,115.8
88.6525,82.26885714,85.8669697,167.6713547,10.51131432,1.119404007,219.1
88.6525,82.26885714,85.8669697,167.6713547,10.5050417,1.37780138,219.1
88.6525,82.26885714,85.8669697,167.6713547,10.4792,1.348287296,219.1
88.6525,82.26885714,85.8669697,167.6713547,10.51345589,1.185433039,219.1
88.6525,82.26885714,85.8669697,167.6713547,10.48532749,1.192202511,219.1
88.6525,82.26885714,85.8669697,167.6713547,10.47879521,1.941650057,219.1
91.90333333,82.26885714,85.8669697,167.6713547,13.55835905,0.809286337,190.3
91.90333333,82.26885714,85.8669697,167.6713547,13.54600442,-0.034037441,190.3
91.90333333,82.26885714,85.8669697,167.6713547,13.50381171,0.692665253,190.3
